Laptop_ID,Brand,Model,Processor,RAM_GB,Storage_Type,Storage_GB,GPU,Screen_Size,Operating_System,Weight_KG,Battery_Hours,Warranty_Months,Customer_Segment,Region,Price
LAP0025,Dell,Inspiron 15,Intel i5,16,SSD,1024,Integrated,14.0,Windows 11,1.21,8.6,24,Professional,South,59627.33
LAP0026,Dell,Latitude 14,AMD Ryzen 7,8,HDD,512,Integrated,17.3,Windows 11,2.1,5.8,6,Professional,North,55576.2
LAP0027,Dell,Vostro 15,AMD Ryzen 3,8,SSD,512,Integrated,16.0,Windows 11,1.74,11.8,12,Gaming,East,34897.58
LAP0028,Dell,Inspiron 15,Intel i3,16,SSD,512,Integrated,14.0,Windows 11,1.51,11.7,6,Gaming,West,50767.69
LAP0029,Dell,Vostro 15,Intel i7,16,SSD,1024,NVIDIA GTX,16.0,Windows 11,2.14,7.4,24,Gaming,South,78374.18
LAP0030,Dell,Latitude 14,Intel i7,8,SSD,1024,AMD Radeon,14.0,Windows 11,1.23,6.0,6,Student,West,74764.43
LAP0031,Dell,Vostro 15,Intel i5,16,SSD,256,NVIDIA GTX,15.6,Windows 11,1.99,8.5,24,Student,South,53369.37
LAP0032,Dell,Latitude 14,AMD Ryzen 5,32,SSD,512,NVIDIA GTX,14.0,Windows 11,1.42,11.4,6,Student,North,87412.3
LAP0033,Dell,Vostro 15,AMD Ryzen 5,32,SSD,512,NVIDIA RTX,15.6,Windows 11,1.99,11.6,24,Professional,East,87016.31
LAP0034,Dell,Inspiron 15,Intel i3,8,SSD,512,Integrated,14.0,Windows 11,1.58,10.9,24,Professional,West,37317.35
LAP0035,Dell,Vostro 15,AMD Ryzen 7,8,SSD,1024,Integrated,17.3,Windows 11,2.52,11.5,6,Gaming,East,68778.5
LAP0036,Dell,Latitude 14,AMD Ryzen 3,8,SSD,512,Integrated,13.3,Windows 11,1.53,7.6,24,Professional,East,37583.25
LAP0037,Dell,Vostro 15,AMD Ryzen 5,8,HDD,512,Integrated,17.3,Windows 11,2.66,5.5,24,Professional,West,47016.94
LAP0038,Dell,Inspiron 15,Intel i5,16,SSD,1024,NVIDIA RTX,15.6,Windows 11,1.88,11.5,12,Gaming,East,68258.53
LAP0039,Dell,Latitude 14,Intel i5,8,SSD,256,NVIDIA GTX,13.3,Linux,1.38,6.1,6,Professional,West,46100.21
LAP0040,Dell,Vostro 15,AMD Ryzen 3,8,SSD,1024,AMD Radeon,16.0,Windows 11,2.19,7.1,24,Student,North,51962.93
LAP0041,Dell,Vostro 15,AMD Ryzen 7,32,SSD,512,AMD Radeon,15.6,Windows 11,2.15,8.8,6,Student,South,87400.15
LAP0042,Dell,Vostro 15,AMD Ryzen 5,32,SSD,512,NVIDIA GTX,15.6,Windows 11,1.73,10.5,12,Professional,South,76848.21
LAP0043,Dell,Vostro 15,AMD Ryzen 5,8,SSD,1024,Integrated,13.3,Linux,1.26,8.6,12,Professional,North,58556.63
LAP0044,Dell,Vostro 15,Intel i7,16,SSD,1024,Integrated,13.3,Windows 11,1.36,8.5,24,Student,North,75722.08
LAP0045,Dell,Inspiron 15,Intel i3,16,HDD,512,Integrated,15.6,Windows 11,2.1,11.1,12,Gaming,East,34423.7
LAP0046,Dell,Inspiron 15,AMD Ryzen 5,16,SSD,1024,Integrated,13.3,Windows 11,1.32,6.1,24,Business,West,62837.75
LAP0047,Dell,Vostro 15,Intel i7,8,SSD,1024,AMD Radeon,15.6,Windows 11,1.76,6.4,24,Professional,North,71004.18
LAP0048,Dell,Latitude 14,Intel i5,16,SSD,512,AMD Radeon,14.0,Windows 11,1.22,9.6,12,Student,West,67834.1
LAP0049,Dell,Vostro 15,AMD Ryzen 5,16,SSD,256,Integrated,17.3,Windows 11,2.24,11.8,24,Student,South,54623.33
LAP0050,Dell,Latitude 14,Intel i5,8,SSD,512,Integrated,15.6,Windows 11,2.19,7.4,24,Professional,West,39143.37
LAP0051,Dell,Vostro 15,Intel i7,8,SSD,512,NVIDIA RTX,15.6,Windows 11,2.04,7.0,12,Student,North,81535.43
LAP0052,Dell,Latitude 14,AMD Ryzen 3,16,SSD,1024,NVIDIA RTX,13.3,Windows 11,1.55,9.7,12,Business,West,71344.18
LAP0053,Dell,Inspiron 15,Intel i7,8,HDD,1024,Integrated,14.0,Windows 11,1.17,9.0,12,Professional,South,62030.9
LAP0054,Dell,Latitude 14,AMD Ryzen 5,16,SSD,1024,NVIDIA RTX,15.6,Windows 11,2.06,8.5,6,Student,North,83829.59
LAP0055,Dell,Vostro 15,AMD Ryzen 5,32,SSD,1024,AMD Radeon,13.3,Windows 11,1.5,5.6,24,Student,South,87716.55
LAP0056,Dell,Inspiron 15,AMD Ryzen 3,16,SSD,1024,NVIDIA GTX,14.0,Windows 11,1.34,9.5,24,Student,North,66267.81
LAP0057,Dell,Inspiron 15,AMD Ryzen 3,16,SSD,512,Integrated,14.0,Windows 11,1.12,5.7,12,Student,North,46300.57
LAP0058,Dell,Latitude 14,AMD Ryzen 5,16,SSD,1024,Integrated,16.0,Windows 11,1.91,10.2,12,Business,East,61685.59
LAP0059,Dell,Vostro 15,AMD Ryzen 3,16,SSD,512,Integrated,14.0,Linux,1.53,6.1,24,Professional,South,51567.74
LAP0060,Dell,Inspiron 15,Intel i3,32,SSD,1024,AMD Radeon,14.0,Windows 11,1.42,9.4,6,Student,South,75467.0
LAP0061,Dell,Inspiron 15,Intel i5,8,SSD,1024,NVIDIA GTX,17.3,Windows 11,2.17,11.2,12,Business,West,56920.77
LAP0062,Dell,Inspiron 15,Intel i5,16,SSD,1024,AMD Radeon,13.3,Linux,1.17,7.8,6,Professional,West,67241.58
LAP0063,Dell,Vostro 15,Intel i5,16,SSD,1024,NVIDIA RTX,16.0,Windows 11,2.04,8.8,6,Professional,North,72098.54
LAP0064,Dell,Vostro 15,AMD Ryzen 7,32,SSD,512,NVIDIA RTX,13.3,Windows 11,1.13,8.6,12,Professional,West,93694.12
LAP0065,Dell,Inspiron 15,Intel i7,8,SSD,512,Integrated,14.0,Linux,1.24,9.6,24,Business,East,68733.42
LAP0066,Dell,Latitude 14,AMD Ryzen 7,16,SSD,256,Integrated,13.3,Windows 11,1.53,9.7,24,Business,North,71180.13
LAP0067,Dell,Latitude 14,Intel i7,16,SSD,512,Integrated,13.3,Windows 11,1.26,7.5,12,Professional,North,71753.0
LAP0068,Dell,Latitude 14,AMD Ryzen 3,8,SSD,512,Integrated,15.6,Windows 11,2.07,9.1,24,Gaming,South,44592.95
LAP0069,Dell,Latitude 14,AMD Ryzen 3,32,SSD,512,AMD Radeon,13.3,Windows 11,1.58,9.4,12,Student,North,68704.41
LAP0070,Dell,Inspiron 15,Intel i5,8,HDD,512,NVIDIA RTX,15.6,Windows 11,1.9,10.7,24,Gaming,West,57174.01
LAP0071,Dell,Vostro 15,AMD Ryzen 3,8,SSD,512,NVIDIA GTX,15.6,Windows 11,1.75,6.7,6,Professional,East,48703.33
LAP0072,Dell,Vostro 15,Intel i3,8,HDD,512,AMD Radeon,16.0,Windows 11,1.82,6.5,12,Business,West,46998.21
LAP0073,Dell,Vostro 15,AMD Ryzen 5,8,SSD,256,NVIDIA RTX,16.0,Windows 11,1.84,8.4,12,Student,West,63915.83
LAP0074,Dell,Vostro 15,Intel i5,16,SSD,512,NVIDIA GTX,13.3,Windows 11,1.21,11.9,6,Student,South,71117.95
LAP0075,Dell,Vostro 15,AMD Ryzen 7,8,HDD,256,NVIDIA RTX,16.0,Windows 11,1.62,8.0,24,Student,South,56288.2
LAP0076,Dell,Vostro 15,Intel i3,8,HDD,1024,Integrated,17.3,Windows 11,2.34,8.1,24,Professional,West,42775.61
LAP0077,Dell,Latitude 14,Intel i7,32,SSD,512,Integrated,15.6,Linux,1.56,11.0,6,Professional,East,80468.76
LAP0078,Dell,Inspiron 15,Intel i7,8,SSD,512,Integrated,13.3,Windows 11,1.36,6.2,24,Student,South,63731.52
LAP0079,Dell,Vostro 15,Intel i5,8,SSD,256,NVIDIA GTX,14.0,Linux,1.19,6.5,24,Student,East,52489.97
LAP0080,Dell,Latitude 14,Intel i7,16,SSD,1024,NVIDIA GTX,17.3,Windows 11,2.26,11.8,12,Student,West,72132.99
LAP0081,Dell,Inspiron 15,Intel i7,16,SSD,512,NVIDIA RTX,15.6,Windows 11,1.82,5.7,12,Business,West,86088.53
LAP0082,Dell,Latitude 14,AMD Ryzen 3,16,SSD,512,Integrated,17.3,Linux,2.76,10.3,6,Professional,North,48684.06
LAP0083,Dell,Vostro 15,Intel i5,8,HDD,256,Integrated,13.3,Windows 11,1.35,6.6,6,Business,East,46727.57
LAP0084,Dell,Vostro 15,Intel i7,32,SSD,512,Integrated,17.3,Windows 11,2.04,9.6,12,Student,West,77744.83
LAP0085,Dell,Latitude 14,Intel i7,32,HDD,2048,Integrated,14.0,Windows 11,1.27,9.3,6,Gaming,South,87438.83
LAP0086,Dell,Vostro 15,AMD Ryzen 7,16,HDD,1024,Integrated,17.3,Windows 11,2.3,10.6,6,Business,West,64819.14
LAP0087,Dell,Inspiron 15,AMD Ryzen 3,8,SSD,256,Integrated,15.6,Windows 11,2.16,8.7,6,Gaming,North,39196.36
LAP0088,Dell,Latitude 14,Intel i3,16,SSD,1024,Integrated,13.3,Windows 11,1.43,11.2,24,Student,East,55556.43
LAP0089,Dell,Latitude 14,Intel i5,16,HDD,1024,NVIDIA GTX,16.0,Windows 11,1.53,7.9,24,Student,East,58693.13
LAP0090,Dell,Vostro 15,AMD Ryzen 3,8,SSD,512,NVIDIA RTX,14.0,Windows 11,1.28,11.7,12,Professional,South,63386.75
LAP0091,Dell,Latitude 14,AMD Ryzen 5,8,SSD,256,Integrated,14.0,Windows 11,1.54,5.8,12,Gaming,West,49513.9
LAP0092,Dell,Vostro 15,AMD Ryzen 5,8,SSD,256,Integrated,17.3,Windows 11,2.12,8.3,6,Business,South,50435.95
LAP0093,Dell,Inspiron 15,AMD Ryzen 7,8,SSD,512,Integrated,15.6,Windows 11,1.66,7.6,6,Business,South,56917.81
LAP0094,Dell,Inspiron 15,AMD Ryzen 5,16,SSD,512,Integrated,16.0,Windows 11,1.81,5.5,6,Student,North,56602.57
LAP0095,Dell,Vostro 15,AMD Ryzen 5,16,SSD,256,NVIDIA RTX,14.0,Windows 11,1.25,5.8,12,Professional,East,72312.56
LAP0096,Dell,Latitude 14,Intel i3,16,SSD,512,Integrated,14.0,Windows 11,1.46,7.4,6,Professional,North,42491.23
LAP0097,Dell,Latitude 14,Intel i7,16,SSD,512,NVIDIA GTX,17.3,Windows 11,2.41,11.9,24,Student,East,77409.59
LAP0098,Dell,Inspiron 15,Intel i3,16,HDD,512,Integrated,15.6,Windows 11,1.67,9.8,6,Business,South,42251.8
LAP0099,Dell,Latitude 14,Intel i5,16,HDD,1024,Integrated,16.0,Windows 11,2.19,8.6,6,Business,West,54100.06
LAP0100,Dell,Inspiron 15,AMD Ryzen 5,8,SSD,1024,Integrated,15.6,Linux,2.15,8.8,24,Professional,West,55021.41
LAP0101,Dell,Vostro 15,AMD Ryzen 5,16,SSD,1024,Integrated,15.6,Windows 11,1.59,7.9,12,Business,East,56707.88
LAP0102,Dell,Vostro 15,Intel i5,8,SSD,1024,NVIDIA GTX,13.3,Windows 11,1.46,6.0,24,Gaming,North,60184.15
LAP0103,Dell,Latitude 14,Intel i7,16,SSD,512,Integrated,16.0,Windows 11,1.62,8.4,12,Student,South,67534.83
LAP0104,Dell,Latitude 14,AMD Ryzen 3,16,SSD,256,NVIDIA GTX,16.0,Windows 11,1.75,10.7,24,Student,West,45466.8
LAP0105,Dell,Latitude 14,Intel i5,8,SSD,256,NVIDIA RTX,15.6,Windows 11,1.75,11.7,6,Professional,East,59351.26
LAP0106,Dell,Vostro 15,AMD Ryzen 7,16,SSD,512,NVIDIA RTX,15.6,Windows 11,1.95,7.1,6,Student,North,86895.28
LAP0107,Dell,Vostro 15,Intel i7,8,SSD,512,NVIDIA GTX,14.0,Windows 11,1.6,7.4,12,Student,North,80564.89
LAP0108,Dell,Latitude 14,AMD Ryzen 5,8,HDD,256,AMD Radeon,15.6,Windows 11,1.97,10.1,24,Professional,South,47862.65
LAP0109,Dell,Latitude 14,AMD Ryzen 5,16,SSD,1024,AMD Radeon,14.0,Windows 11,1.16,6.8,6,Student,East,73236.03
LAP0110,Dell,Latitude 14,Intel i3,16,SSD,512,Integrated,13.3,Windows 11,1.13,8.1,24,Business,East,48742.04
LAP0111,Dell,Vostro 15,AMD Ryzen 5,64,SSD,512,Integrated,16.0,Windows 11,1.98,7.7,24,Professional,North,74442.58
LAP0112,Dell,Latitude 14,AMD Ryzen 5,32,HDD,1024,Integrated,14.0,Windows 11,1.25,6.6,24,Student,South,71957.74
LAP0113,Dell,Vostro 15,AMD Ryzen 5,16,SSD,256,NVIDIA GTX,17.3,Windows 11,2.43,8.8,6,Professional,North,60348.09
LAP0114,Dell,Inspiron 15,Intel i5,8,SSD,1024,AMD Radeon,13.3,Windows 11,1.14,11.7,24,Student,North,72161.64
LAP0115,Dell,Vostro 15,AMD Ryzen 5,16,SSD,512,NVIDIA GTX,15.6,Windows 11,1.84,10.7,24,Professional,East,64211.43
LAP0116,Dell,Latitude 14,Intel i3,16,HDD,512,Integrated,14.0,Windows 11,1.26,10.2,24,Gaming,South,45434.01
LAP0117,Dell,Vostro 15,AMD Ryzen 7,16,HDD,512,Integrated,13.3,Windows 11,1.23,7.1,6,Student,East,64920.85
LAP0118,Dell,Latitude 14,AMD Ryzen 5,32,SSD,1024,AMD Radeon,15.6,Windows 11,1.63,6.5,24,Professional,South,74818.0
LAP0119,Dell,Latitude 14,Intel i7,16,SSD,512,Integrated,15.6,Windows 11,1.53,7.3,24,Gaming,East,74219.75
LAP0120,Dell,Vostro 15,Intel i5,8,SSD,512,Integrated,16.0,Windows 11,1.76,8.1,24,Professional,South,50460.75
LAP0121,Dell,Latitude 14,Intel i7,16,SSD,512,Integrated,17.3,Windows 11,2.1,11.8,12,Professional,South,72636.69
LAP0122,Dell,Inspiron 15,Intel i7,16,SSD,512,Integrated,13.3,Windows 11,1.12,10.1,12,Professional,North,67984.81
LAP0123,Dell,Latitude 14,AMD Ryzen 3,16,HDD,256,Integrated,15.6,Windows 11,1.92,8.8,24,Professional,South,43389.62
LAP0124,Dell,Vostro 15,Intel i7,8,SSD,512,Integrated,13.3,Windows 11,1.4,7.2,24,Business,North,58768.72
LAP0125,Dell,Vostro 15,AMD Ryzen 5,16,SSD,512,Integrated,14.0,Windows 11,1.51,7.1,24,Gaming,West,63717.91
LAP0126,Dell,Latitude 14,Intel i5,8,HDD,512,Integrated,17.3,Windows 11,2.74,11.2,24,Business,North,51934.1
LAP0127,Dell,Inspiron 15,Intel i7,16,SSD,512,AMD Radeon,16.0,Windows 11,2.14,7.7,12,Business,South,70619.64
LAP0128,Dell,Vostro 15,AMD Ryzen 3,16,SSD,512,Integrated,15.6,Windows 11,1.99,10.0,12,Student,South,44528.71
LAP0129,Dell,Latitude 14,Intel i7,8,SSD,512,NVIDIA RTX,16.0,Linux,2.13,8.1,12,Gaming,North,80525.48
LAP0130,Dell,Vostro 15,Intel i5,8,SSD,512,NVIDIA RTX,16.0,Windows 11,1.65,10.9,12,Gaming,South,62811.41
LAP0131,Dell,Latitude 14,Intel i5,8,SSD,512,NVIDIA GTX,14.0,Windows 11,1.42,5.8,12,Student,East,50099.06
LAP0132,Dell,Vostro 15,Intel i3,16,SSD,1024,Integrated,16.0,Windows 11,1.83,6.8,12,Student,West,51385.58
LAP0133,Dell,Inspiron 15,AMD Ryzen 7,16,SSD,1024,NVIDIA GTX,14.0,Windows 11,1.31,10.9,6,Gaming,East,77296.68
LAP0134,Dell,Inspiron 15,AMD Ryzen 5,32,HDD,512,NVIDIA RTX,13.3,Windows 11,1.25,9.4,12,Student,East,87208.22
LAP0135,Dell,Vostro 15,AMD Ryzen 5,8,SSD,1024,Integrated,14.0,Windows 11,1.47,9.7,24,Student,South,54939.64
LAP0136,Dell,Vostro 15,AMD Ryzen 5,8,SSD,1024,NVIDIA RTX,16.0,Windows 11,1.86,6.1,24,Student,North,81051.75
LAP0137,Dell,Vostro 15,Intel i7,8,SSD,512,Integrated,15.6,Linux,1.71,10.2,6,Student,South,58552.41
LAP0138,Dell,Latitude 14,AMD Ryzen 3,8,SSD,512,Integrated,15.6,Windows 11,1.98,9.7,12,Professional,North,38627.77
LAP0139,Dell,Vostro 15,Intel i5,16,SSD,512,Integrated,17.3,Windows 11,2.73,10.4,24,Business,North,57737.88
LAP0140,Dell,Vostro 15,AMD Ryzen 3,16,HDD,512,NVIDIA RTX,13.3,Windows 11,1.56,6.2,24,Gaming,North,57538.16
LAP0141,Dell,Inspiron 15,Intel i7,16,SSD,256,Integrated,17.3,Windows 11,2.39,11.3,12,Business,East,65100.62
LAP0142,Dell,Vostro 15,Intel i5,16,HDD,512,NVIDIA GTX,13.3,Windows 11,1.3,10.8,24,Student,West,64959.19
LAP0143,Dell,Inspiron 15,Intel i3,64,SSD,1024,Integrated,16.0,Windows 11,1.52,8.2,6,Business,East,68843.38
LAP0144,Dell,Inspiron 15,Intel i5,32,SSD,512,Integrated,17.3,Windows 11,2.11,11.1,6,Student,East,65907.9
LAP0145,Dell,Vostro 15,Intel i7,8,SSD,256,Integrated,16.0,Windows 11,1.97,9.0,24,Professional,North,58246.52
LAP0146,Dell,Inspiron 15,Intel i5,32,SSD,1024,Integrated,13.3,Windows 11,1.5,8.2,6,Student,West,76595.25
LAP0147,Dell,Latitude 14,Intel i3,16,HDD,256,NVIDIA GTX,13.3,Windows 11,1.3,7.0,6,Business,West,40510.77
LAP0148,Dell,Latitude 14,Intel i5,32,SSD,512,Integrated,17.3,Linux,2.62,10.8,6,Student,North,59135.0
LAP0149,Dell,Latitude 14,AMD Ryzen 7,8,SSD,512,Integrated,14.0,Windows 11,1.41,8.3,12,Student,South,65425.79
LAP0150,Dell,Inspiron 15,AMD Ryzen 7,8,HDD,512,NVIDIA RTX,15.6,Windows 11,1.76,10.4,12,Student,North,74413.48
LAP0151,Dell,Vostro 15,Intel i5,32,SSD,512,NVIDIA RTX,17.3,Windows 11,2.42,8.0,12,Student,West,84204.27
LAP0152,Dell,Vostro 15,AMD Ryzen 7,16,SSD,256,Integrated,16.0,Windows 11,1.97,9.4,6,Student,North,63636.07
LAP0153,Dell,Inspiron 15,Intel i7,32,HDD,256,Integrated,13.3,Windows 11,1.47,10.4,6,Business,North,70016.94
LAP0154,Dell,Latitude 14,Intel i5,8,SSD,512,Integrated,15.6,Windows 11,1.72,7.8,12,Professional,East,48122.19
LAP0155,Dell,Inspiron 15,AMD Ryzen 5,8,SSD,256,Integrated,14.0,Windows 11,1.11,9.1,24,Professional,East,50395.88
LAP0156,Dell,Latitude 14,Intel i5,16,HDD,512,Integrated,15.6,Windows 11,1.68,10.8,24,Professional,East,45862.47
LAP0157,Dell,Inspiron 15,Intel i7,8,SSD,512,Integrated,17.3,Windows 11,2.79,11.7,24,Student,West,70473.04
LAP0158,Dell,Inspiron 15,AMD Ryzen 7,8,SSD,1024,NVIDIA RTX,13.3,Windows 11,1.45,5.6,24,Professional,West,88209.3
LAP0159,Dell,Inspiron 15,AMD Ryzen 3,16,HDD,512,NVIDIA GTX,17.3,Windows 11,2.44,5.6,24,Business,South,43716.18
LAP0160,Dell,Inspiron 15,Intel i3,16,SSD,1024,NVIDIA GTX,13.3,Windows 11,1.36,7.1,24,Professional,South,64031.54
LAP0161,HP,Victus 15,Intel i5,8,SSD,512,Integrated,14.0,Windows 11,1.25,10.9,6,Business,West,40190.98
LAP0162,HP,Pavilion 15,Intel i3,8,SSD,256,NVIDIA GTX,13.3,Windows 11,1.35,8.3,12,Professional,West,42118.93
LAP0163,HP,Victus 15,AMD Ryzen 5,32,SSD,512,Integrated,16.0,Linux,1.69,11.5,24,Gaming,West,68790.73
LAP0164,HP,Victus 15,Intel i5,8,SSD,256,Integrated,16.0,Windows 11,2.15,7.4,24,Student,East,32883.98
LAP0165,HP,Victus 15,AMD Ryzen 3,16,SSD,1024,Integrated,13.3,Windows 11,1.35,11.8,6,Student,North,53912.24
LAP0166,HP,HP 15,AMD Ryzen 5,32,SSD,512,NVIDIA RTX,13.3,Windows 11,1.42,10.6,12,Professional,South,86434.56
LAP0167,HP,Victus 15,Intel i7,16,SSD,512,Integrated,15.6,Windows 11,2.06,10.1,6,Student,East,67276.32
LAP0168,HP,Pavilion 15,AMD Ryzen 5,8,SSD,256,NVIDIA RTX,15.6,Windows 11,1.81,10.4,6,Student,North,67112.62
LAP0169,HP,Victus 15,Intel i7,8,HDD,256,Integrated,13.3,Windows 11,1.4,10.6,12,Student,East,48472.8
LAP0170,HP,Victus 15,Intel i5,32,HDD,2048,AMD Radeon,17.3,Windows 11,2.14,8.0,6,Student,South,70185.24
LAP0171,HP,Pavilion 15,Intel i7,8,SSD,512,Integrated,15.6,Windows 11,1.68,7.1,24,Professional,North,52574.24
LAP0172,HP,HP 15,Intel i7,8,SSD,1024,Integrated,15.6,Windows 11,1.81,8.3,24,Gaming,North,57905.9
LAP0173,HP,HP 15,Intel i5,16,HDD,256,NVIDIA GTX,15.6,Windows 11,1.7,10.0,12,Gaming,North,45230.09
LAP0174,HP,Pavilion 15,Intel i5,8,SSD,1024,NVIDIA RTX,17.3,Windows 11,2.8,6.7,24,Student,East,66112.23
LAP0175,HP,HP 15,AMD Ryzen 7,16,SSD,256,NVIDIA RTX,16.0,Windows 11,1.6,7.5,12,Business,East,75822.16
LAP0176,HP,Victus 15,AMD Ryzen 5,16,SSD,512,AMD Radeon,16.0,Windows 11,1.88,10.6,12,Business,West,62299.37
LAP0177,HP,Victus 15,Intel i3,8,SSD,512,NVIDIA GTX,16.0,Windows 11,2.18,7.7,12,Student,West,40635.56
LAP0178,HP,HP 15,Intel i5,16,SSD,512,Integrated,15.6,Windows 11,1.77,10.5,24,Business,North,55117.95
LAP0179,HP,Pavilion 15,Intel i5,8,HDD,2048,Integrated,14.0,Windows 11,1.27,7.7,6,Professional,South,51386.09
LAP0180,HP,Victus 15,Intel i7,8,HDD,512,NVIDIA GTX,13.3,Windows 11,1.11,7.7,6,Business,North,73817.81
LAP0181,HP,HP 15,AMD Ryzen 7,16,SSD,512,Integrated,16.0,Windows 11,1.66,8.1,6,Student,East,64392.55
LAP0182,HP,Pavilion 15,Intel i5,8,SSD,512,AMD Radeon,14.0,Windows 11,1.2,10.4,6,Professional,North,46719.84
LAP0183,HP,Victus 15,Intel i5,16,SSD,512,Integrated,15.6,Windows 11,1.92,9.5,24,Student,South,43758.03
LAP0184,HP,Victus 15,AMD Ryzen 5,16,HDD,512,NVIDIA RTX,17.3,Windows 11,2.07,6.4,6,Student,West,67748.18
LAP0185,HP,HP 15,Intel i5,8,HDD,256,Integrated,16.0,Windows 11,1.63,9.6,24,Gaming,North,30571.47
LAP0186,HP,Pavilion 15,Intel i7,8,SSD,512,Integrated,15.6,Windows 11,2.17,8.6,6,Business,East,59790.05
LAP0187,HP,Victus 15,Intel i7,8,SSD,256,NVIDIA RTX,13.3,Windows 11,1.5,6.9,6,Student,South,74706.62
LAP0188,HP,Pavilion 15,Intel i5,16,HDD,512,NVIDIA RTX,17.3,Windows 11,2.09,10.5,12,Professional,West,61249.32
LAP0189,HP,Victus 15,AMD Ryzen 5,8,SSD,1024,Integrated,14.0,Windows 11,1.25,12.0,12,Student,West,49766.48
LAP0190,HP,Victus 15,Intel i7,8,SSD,1024,NVIDIA RTX,15.6,Linux,2.1,9.5,12,Student,North,72760.24
LAP0191,HP,Victus 15,AMD Ryzen 5,16,SSD,512,NVIDIA RTX,17.3,Windows 11,2.13,11.9,12,Student,South,68567.73
LAP0192,HP,HP 15,AMD Ryzen 7,16,SSD,256,AMD Radeon,13.3,Windows 11,1.6,11.1,6,Business,North,69430.84
LAP0193,HP,HP 15,Intel i5,16,SSD,512,NVIDIA RTX,14.0,Windows 11,1.39,7.2,12,Professional,West,70540.47
LAP0194,HP,HP 15,AMD Ryzen 3,16,HDD,512,Integrated,16.0,Windows 11,2.17,7.6,6,Gaming,West,30971.23
LAP0195,HP,Victus 15,AMD Ryzen 5,8,SSD,256,NVIDIA GTX,16.0,Windows 11,1.65,8.3,6,Professional,South,48356.36
